# category|code|name|description|price|source markers (not rendered; verify before use)
Đặc sản quán / Spezialitäten|91d|Bí đỏ Sapa · Garnelen|Bio-Hokkaido-Kürbis, Süßkartoffeln, Gemüse und Curry-Kokosmilch-Sauce|17,50|1,4,6
Đặc sản quán / Spezialitäten|91e|Bí đỏ Sapa · gegrillter Lachs|Bio-Hokkaido-Kürbis, Süßkartoffeln, Gemüse und Curry-Kokosmilch-Sauce|17,90|1,4,6
Đặc sản quán / Spezialitäten|92|Vịt nướng hột điều|Gegrillte Barbarie-Ente mit Gemüse, Cashewnüssen und Süßkartoffeln|17,90|
Đặc sản quán / Spezialitäten|93|Cá hồi nướng đặc biệt|Lachssteak mit gegrillten Garnelen, Gemüse und Süßkartoffeln|18,90|
Bún / Reisnudeln|BU1|Bún đậu Erdnuss|Tofu in Erdnuss-Curry-Sauce mit Reisnudeln und Gemüse · scharf|13,90|4,6
Bún / Reisnudeln|BU2|Bún đậu chiên|Gebackener Tofu mit Reisnudeln, Salat, Gurke und hausgemachter Sauce|13,50|4,5,6
Bún / Reisnudeln|BU3|Bún gà Curry|Hühnerfleisch in roter Curry-Sauce mit Reisnudeln und Gemüse · scharf|13,90|4,6
Bún / Reisnudeln|BU4|Bún nem rán|Frühlingsrollen mit Reisnudeln, Salat und frischen Kräutern|11,90|1,4,5,6
Bún / Reisnudeln|BU5|Bún bò Nam bộ|Gegrilltes Rindfleisch mit Reisnudeln, Salat und frischen Kräutern|13,90|1,4,5,6
Bún / Reisnudeln|BU6|Bún gà Nam bộ|Gegrilltes Hühnerfilet mit Reisnudeln, Salat und frischen Kräutern|12,90|1,4,5,6
Bún / Reisnudeln|BU7|Bún bò lá lốt|Rindfleisch in vietnamesischen Pfefferblättern mit Reisnudeln, Salat und Kräutern|15,50|1,4,5,6
Bún / Reisnudeln|BU8|Bún chả cá|Gegrillter Tilapia mit Reisnudeln, Salat, Dill und Erdnüssen|15,50|1,4,5,6
Bún / Reisnudeln|BU9|Bún chả|Gegrilltes Schweinefleisch mit Reisnudeln, Salat und frischen Kräutern|14,90|1,4,5,6
Miến / Glasnudeln|M1|Miến đậu phụ|Glasnudelsuppe mit Tofu, Pak-Choi, Sojasprossen und Koriander|12,50|6
Miến / Glasnudeln|M2|Miến Wantan gà|Glasnudelsuppe mit Huhn, Wantan, Pak-Choi und Sojasprossen|13,90|4,6
Miến / Glasnudeln|M3|Miến gà|Glasnudelsuppe mit Hühnerfleisch, Sojasprossen und Koriander|13,90|6
Miến / Glasnudeln|M4|Miến bò|Glasnudelsuppe mit Rindfleisch, Sojasprossen und Koriander|14,90|6
Miến / Glasnudeln|M5|Miến bò tái lăn|Glasnudelsuppe mit gebratenem Rindfleisch, Knoblauch und Sojasprossen|14,90|6
Miến / Glasnudeln|M6a|Miến xào · Gemüse|Gebratene Glasnudeln mit Gemüse und Ei|11,50|1,3,4,6
Miến / Glasnudeln|M6b|Miến xào · Tofu|Gebratene Glasnudeln mit Gemüse und Ei|12,90|1,3,4,6
Miến / Glasnudeln|M6c|Miến xào · Hähnchen|Gebratene Glasnudeln mit Gemüse und Ei|13,50|1,3,4,6
Miến / Glasnudeln|M6d|Miến xào · Rindfleisch|Gebratene Glasnudeln mit Gemüse und Ei|14,50|1,3,4,6
Miến / Glasnudeln|M6e|Miến xào · gebratene Ente|Gebratene Glasnudeln mit Gemüse und Ei|14,50|1,3,4,6
Miến / Glasnudeln|M6f|Miến xào · Garnelen|Gebratene Glasnudeln mit Gemüse und Ei|17,90|1,3,4,6
Phở Hà Nội|P1|Phở đậu phụ|Reisbandnudelsuppe mit Tofu, Sojasprossen, Pak-Choi und Koriander|11,90|
Phở Hà Nội|P2|Phở Wantan đậu phụ|Reisbandnudelsuppe mit Tofu-Wantan, Sojasprossen und Pak-Choi|13,50|
Phở Hà Nội|P3|Phở Wantan gà|Reisbandnudelsuppe mit Garnelen-Hühnerfleisch-Wantan und Gemüse|13,90|
Phở Hà Nội|P4|Phở gà|Reisbandnudelsuppe mit Hühnerfleisch, Sojasprossen und Koriander|13,90|
Phở Hà Nội|P5|Phở bò tái|Reisbandnudelsuppe mit Rindfleisch, Ingwer und frischen Kräutern|13,90|
Phở Hà Nội|P6|Phở bò tái lăn|Reisbandnudelsuppe mit gebratenem Rindfleisch und frischen Kräutern|13,90|
Phở Hà Nội|P7|Phở bò chín|Reisbandnudelsuppe mit dünnen Rindfleischscheiben und frischen Kräutern|13,90|
Phở Hà Nội|P8|Phở bò trộn|Reisbandnudeln mit gebratenem Rindfleisch, Salat, Kräutern und Erdnüssen|13,90|4,5,6
Tráng miệng / Dessert|N1|Bánh rán|Sesam-Klebreisbällchen · 6 Stk.|4,90|
Tráng miệng / Dessert|N2|Chuối chiên|Gebackene Banane mit Honig und Kokosraspeln|4,90|2
Tráng miệng / Dessert|N3|Bánh chuối|Gedämpfte Banane im Klebreismantel mit Kokoscreme|5,50|
Tráng miệng / Dessert|N4|Bánh khoai môn|Gedämpfter Taro im Klebreismantel mit Kokoscreme|5,50|
Mittagsangebot|MT1|Kokossuppe gà|Kokossuppe mit Hühnerfleisch, Gemüse und Reis · scharf|7,40|4
Mittagsangebot|MT2|Rau xào|Gebratenes Gemüse mit Lauchzwiebeln; dazu Reis|9,50|1,4,6
Mittagsangebot|MT3|Đậu phụ Curry|Tofu mit roter Thai-Curry-Sauce und Gemüse; dazu Reis · scharf|10,90|1,4,6
Mittagsangebot|MT4|Gà xào nấm|Hühnerfilet mit Champignons und Gemüse; dazu Reis|10,90|1
Mittagsangebot|MT5|Gà Curry|Hühnerfilet mit roter Thai-Curry-Sauce und Gemüse; dazu Reis · scharf|10,90|1,4,6
Mittagsangebot|MT6|Gà chiên|Gebackenes Hühnerfilet mit Gemüse und Sauce nach Wahl; dazu Reis|10,90|1,4,6
Mittagsangebot|MT7|Phở bò|Reisbandnudelsuppe mit Rindfleisch, Sojasprossen und Koriander|10,90|4,6
Mittagsangebot|MT8|Bún bò Nam bộ|Rindfleisch mit Reisnudeln, Salat und Kräutern|10,90|4,5,6
Mittagsangebot|MT9|Bún gà Curry|Hühnerfilet in Thai-Curry-Sauce mit Reisnudeln und Gemüse · scharf|10,90|4,6
Mittagsangebot|MT10|Bò xào rau|Rindfleischstreifen mit Gemüse und Reis|10,90|1,4,6
Mittagsangebot|MT11|Tôm xào rau|Garnelen mit Gemüse und Reis|11,50|1,4,6
Mittagsangebot|MT12|Vịt chiên|Knusprige Ente mit Gemüse und Sauce nach Wahl; dazu Reis|11,50|1,4,6
Mittagsangebot|MT13|Mì xào gà|Gebratene Nudeln mit Hühnerfleisch und Gemüse|10,90|1,4,6
Đồ ăn trẻ em / Kinder|100|Mì xào rau bé|Gebratene Nudeln mit Gemüse · vegetarisch|7,90|1,4,6
Đồ ăn trẻ em / Kinder|101|Mì xào gà bé|Gebratene Nudeln mit Hühnerfilet und Gemüse|8,50|1,4,6
Đồ ăn trẻ em / Kinder|102|Cơm rang rau bé|Gebratener Reis mit Gemüse · vegetarisch|7,90|1,4,6
Đồ ăn trẻ em / Kinder|103|Cơm rang gà bé|Gebratener Reis mit Huhn und Gemüse|8,50|1,3,4,6
Đồ ăn trẻ em / Kinder|104|Rau xào bé|Gebratenes Gemüse mit Lauchzwiebeln · vegetarisch|7,90|1,4,6
Đồ ăn trẻ em / Kinder|105|Rau xào gà bé|Hühnerfilet mit Gemüse und Lauchzwiebeln|8,50|1,4,6
Đồ ăn trẻ em / Kinder|106|Khoai lang chiên|Knusprige Süßkartoffeln mit Ketchup und Mayonnaise|7,50|1,2
Đồ ăn trẻ em / Kinder|107|Gà chiên|Knuspriges Hühnerfilet mit Süß-Sauer-Sauce und Gemüse|7,90|2
Đồ ăn trẻ em / Kinder|108|Gà xiên|Gegrillte Hühnerspieße mit Gemüse und Pommes oder Süßkartoffel-Pommes|8,90|
Viet Family Specials / Getränke||Magic Blue Eistee · 0,4 l|Butterfly Pea Tea, brauner Zucker und Limetten|4,90|
Viet Family Specials / Getränke||Energie Wasser · 0,4 l|Frische Limette, Gurke und Minze|4,90|
Viet Family Specials / Getränke||B52 · 0,4 l|Frischer Apfel, Zimt und Orange|4,90|
Viet Family Specials / Getränke||Aloe Vera Eistee · 0,4 l|Aloe Vera und Limettensaft|4,90|
Viet Family Specials / Getränke||Lychee Love · 0,4 l|Frischer Lychee- und Cranberrysaft|4,90|
Viet Family Specials / Getränke||Mango Lassi · 0,3 l|Naturjoghurt und Milch mit Mango-Fruchtmark|5,50|
Viet Family Specials / Getränke||Nước ép chanh leo · 0,4 l|Maracujasaft mit Eiswürfeln|4,90|
Viet Family Specials / Getränke||Nước chanh đá · 0,4 l|Frisch gepresster Limettensaft mit Eiswürfeln|4,90|
Viet Family Specials / Getränke||Nước đào · 0,4 l|Pfirsich-Eistee|5,90|
Tee & Kaffee||Trà xanh|Grüner Tee im Kännchen|3,50|
Tee & Kaffee||Trà Jasmin|Jasmintee im Kännchen|3,50|
Tee & Kaffee||Trà gừng|Ingwertee mit Pfefferminze, Zitrone und Honig|4,50|
Tee & Kaffee||Trà cam|Orangentee mit Pfefferminze, Zitrone und Honig|4,50|
Tee & Kaffee||Trà sả|Zitronengrastee|4,50|
Tee & Kaffee||Cà phê nóng|Vietnamesischer Filterkaffee mit Kondensmilch|4,50|
Tee & Kaffee||Cà phê sữa đá|Vietnamesischer Eiskaffee mit Kondensmilch|4,90|
Softdrinks & Säfte||Coca Cola · 0,2 l / 0,4 l||2,90 / 4,20|
Softdrinks & Säfte||Coca Cola Light · 0,2 l / 0,4 l||2,90 / 4,20|
Softdrinks & Säfte||Coca Cola Zero · 0,2 l / 0,4 l||2,90 / 4,20|
Softdrinks & Säfte||Fanta · 0,2 l / 0,4 l||2,90 / 4,20|
Softdrinks & Säfte||Sprite · 0,2 l / 0,4 l||2,90 / 4,20|
Softdrinks & Säfte||Mezzo Mix · 0,2 l / 0,4 l||2,90 / 4,20|
Softdrinks & Säfte||Staatl. Fachingen still · 0,25 l / 0,75 l||2,90 / 6,90|
Softdrinks & Säfte||Staatl. Fachingen sprudel · 0,25 l / 0,75 l||2,90 / 6,90|
Softdrinks & Säfte||Bitter Lemon · 0,2 l||3,50|
Softdrinks & Säfte||Tonic · 0,2 l||3,50|
Softdrinks & Säfte||Ginger Ale · 0,2 l||3,50|
Softdrinks & Säfte||Apfelsaft · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Orangensaft · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Mango Nektar · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Rhabarber Nektar · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Maracuja Nektar · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Litchi Nektar · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Guaven Nektar · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Kiba · 0,2 l / 0,4 l||3,20 / 4,90|
Softdrinks & Säfte||Saftschorle · 0,2 l / 0,4 l||3,00 / 4,90|
Bier||Carlsberg vom Fass · 0,3 l / 0,5 l||3,90 / 4,90|
Bier||Alsterwasser vom Fass · 0,3 l / 0,5 l||3,90 / 4,90|
Bier||Astra vom Fass · 0,3 l / 0,5 l||3,90 / 4,90|
Bier||Duckstein Original vom Fass · 0,3 l / 0,5 l||4,20 / 5,20|
Bier||Bier Sai Gon · 0,3 l||4,50|
Bier||Holsten Alkoholfrei · 0,33 l||3,90|
Bier||Erdinger Alkoholfrei · 0,5 l||4,90|
Bier||Erdinger Hefeweizen Hell · 0,5 l||4,90|
Bier||Erdinger Hefeweizen Dunkel · 0,5 l||4,90|
Bier||Hemelinger Malzbier · 0,33 l||3,90|
Cocktails||Aperol Spritz|Prosecco, Aperol und Orangenscheibe|6,90|
Cocktails||Aperol Maracuja Spritz|Prosecco, Aperol, Maracuja und Orangenscheibe|6,90|
Cocktails||Hugo|Holunderblütensirup, Prosecco, Limetten und Minze|7,90|
Cocktails||Mojito Viet Nam|Vietnamesischer Wodka, Zitrone, Minze und Rohrzucker|7,90|
Cocktails||Lúa Mới Gừng|Vietnamesischer Wodka, Zitrone, Minze, Ingwer und Rohrzucker|7,90|
Cocktails||Mango Fridge|Vietnamesischer Wodka, Zitrone, Minze, Mango und Rohrzucker|7,90|
Cocktails||Gin Tonic|Bombay Sapphire Gin, Thomas Henry Tonic, Minze und Gurke|8,90|
Wein||Bordeaux Chateau Merlot · Rotwein · 0,2 l / 0,75 l||5,90 / 15,90|
Wein||Rotwein Schorle · 0,2 l||5,90|
Wein||Riesling · Weißwein · 0,2 l / 0,75 l||5,90 / 15,90|
Wein||Sauvignon Blanc · Weißwein · 0,2 l / 0,75 l||4,90 / 14,90|
Wein||Grauburgunder · Weißwein · 0,2 l / 0,75 l||5,90 / 15,90|
Wein||Weißwein Schorle · 0,2 l||5,90|
Spirituosen||Bombay Sapphire London Dry Gin · 4 cl||3,90|
Spirituosen||Bacardi Carta Blanca · 4 cl||3,90|
Spirituosen||Jägermeister · 4 cl||3,90|
Spirituosen||Ramazotti · 4 cl||3,90|
Spirituosen||Baileys · 4 cl||3,90|
